Required Input,Description,Sensitive,HCL,Template Value
org_name,Four character name unique to the network,no,no,carr
aws_env,Environment.  Valid values are dev | test | prod,no,no,dev
aws_account_id,AWS account number,no,no,12 digit number
aws_access_key,IAM user access key - from the terraform user,yes,no,
aws_secret_key,IAM user secret key - from the terraform user,yes,no,
aws_user_arn,IAM user ARN - from the terraform user,no,no,arn:aws:iam::{{ account number }}:user/terraform_user
aws_role_arn,IAM role ARN - from the terraform user,no,no,arn:aws:iam::{{ account number }}:role/tf_automation
aws_region,AWS region to setup the resources,no,no,us-east-1
aws_external_id,AWS external id used while setting up IAM user and IAM role,no,no,terraform
tf_backend_s3_bucket,Globally unique bucket name for terraform state files - suggest something like <node_type>-<node_env>-<org_name>-backend-state eg: aais-dev-aais-backend-state,no,no,
tf_inputs_s3_bucket,Globally unique bucket name for terraform input files - suggest something like <node_type>-<node_env>-<org_name>-inputs eg: aais-dev-aais-inputs,no,no,
tf_backend_dynamodb_table_aws_resources,DynamoDB table to manage terraform state locking in AWS resources pipeline - suggest <node_type>-<node_env>-<org_name>-aws-resources,no,no,
tf_backend_dynamodb_table_k8s_resources,DynamoDB table to manage terraform state locking in Kubernetes resources pipeline - suggest <node_type>-<node_env>-<org_name>-k8s-resources,no,no,
create_kms_keys,Choose whether to create KMS keys/use existing keys,no,no,true
s3_kms_key_arn,KMS key ARN to encrypt objects in S3 bucket when create_kms_key is false,no,no,KMS-KEY-ARN
dynamodb_kms_key_arn,KMS key ARN to encrypt dynamodb tables when create_kms_key is false,no,no,KMS-KEY-ARN
custom_tags,Additional tags to include,no,yes,{ custom_tag1 = "custom_value1", custom_tag2 = "custom_value2"}
